Año,Producción Diaria (Kb/d),Precio del Crudo (USD/bbl),Reservas Probadas (Mb),Ingresos Petroleros al PGE (% PIB),Recaudación IVA (USD),Deuda/PIB (%),Déficit Primario (% PIB),Empleo Adecuado (% Población Activa),Crecimiento PIB (% anual)
2005,532,45,1800,9,4000,25,1,48,4.5
2006,535,55,1780,10,4200,24,0.5,49,4.8
2007,511,65,1750,12,4500,23,1,50,5.0
2008,505,85,1720,15,5000,22,2,51,6.0
2009,486,55,1700,9,4800,23,4,47,0.5
2010,486,75,1680,12,5200,24,2,46,3.0
2011,500,95,1650,15,5800,25,1,45,7.9
2012,504,97,1620,16,6200,26,2,44,5.6
2013,526,96,1600,15,6500,28,4,44,4.9
2014,557,86,1580,14,6800,30,5,43,3.8
2015,543,42,1560,10,6000,33,6,45,0.1
2016,548,35,1540,8,6200,38,7,44,-1.2
2017,530,46,1520,9,6500,42,5,43,2.4
2018,517,60,1500,11,6800,45,4,42,1.3
2019,531,55,1480,10,7000,50,3,41,0.0
2020,479,35,1460,5,6000,60,8,35,-7.8
2021,473,62,1440,12,7500,62,5,38,4.2
2022,481,95,1420,15,8000,58,2,40,2.9
2023,475,75,1400,12,8200,60,3,39,1.5
2024,470,72,1380,11,8300,63,4,38,1.0
